kid,schlag ,k.typ,ko.a,ko.d,w.t,w.b,k.z,block,aves,mamm,invert,fl.kot,q.typ,fl.art,fl.ges,fl.m,fl.w,fl.ad,fl.juv
rk035,rk,NA,13,NA,NA,NA,NA,n,k.m,n,n,1,0,n,0,0,0,0,0
rk036,rk,bgk,10,1,33,s,i,n,k,n,n,1,5,M.nattereri,1,1,0,1,0
rk036,rk,NA,13,NA,NA,NA,sb,n,n,n,n,1,5,Plec.auritus,5,NA,NA,5,1
rk037,rk,NA,13,NA,NA,NA,NA,b,k.m,n,n,1,0,n,0,0,0,0,0
rk038,rk,NA,13,NA,NA,NA,NA,n,n,n,n,1,0,n,0,0,0,0,0
sg001,sg,dk,12,1,13,b,sb,n,n,n,n,0,0,n,0,0,0,0,0
sg002,sg,dk,10,6,19,r,i,n,m,n,hon,NA,0,n,0,0,0,0,0
sg002,sg,dk,12,1,13,b,i,n,m,n,n,1,0,n,0,0,0,0,0
sg003,sg,mk,10,6,19,r,i,n,m,n,n,1,5,Plec.auritus,5,NA,NA,NA,NA
sg004,sg,mk,10,6,19,r,i,n,m,n,wn,0,0,n,0,0,0,0,0
sg005,sg,bgk,10,6,19,r,i,n,k,n,n,1,0,n,0,0,0,0,0
sg005,sg,bgk,12,1,13,b,sb,n,k,n,n,1,0,n,0,0,0,0,0
sg006,sg,sfk,12,1,13,b,i,n,n,n,n,1,5,M.nattereri,10,NA,NA,0,10
sg007,sg,bgk,10,6,19,r,i,n,m,n,n,0,0,n,0,0,0,0,0
sg008,sg,fk,10,6,19,r,lb,n,nv.m,n,n,1,5,M.nattereri,1,1,0,1,0
sg008,sg,fk,12,1,13,b,sb,n,nv.m,n,n,1,0,n,0,0,0,0,0
ss001,ss,NA,13,NA,NA,NA,NA,b,k.m,n,n,1,0,n,0,0,0,0,0
ss002,ss,NA,13,NA,NA,NA,NA,n,n,n,n,1,0,n,0,0,0,0,0
ss003,ss,NA,13,NA,NA,NA,NA,n,k,n,n,1,0,n,0,0,0,0,0
ss004,ss,NA,13,NA,NA,NA,NA,b,k.m,n,n,1,0,n,0,0,0,0,0
ss005,ss,NA,13,NA,NA,NA,NA,n,m,n,n,1,0,n,0,0,0,0,0
ss006,ss,mk,10,1,33,s,i,n,k,n,n,0,0,n,0,0,0,0,0
