kid,schlag ,k.typ,ko.a,ko.d,w.t,w.b,k.z,block,aves,mamm,invert,fl.kot,q.typ,fl.art,fl.ges,fl.m,fl.w,fl.ad,fl.juv
hz024,hz,bgk,12,1,13,b,i,n,m,n,n,1,0,n,0,0,0,0,0
hz025,hz,bgk,10,5,23,w,i,n,k.m,n,n,NA,0,n,0,0,0,0,0
hz025,hz,bgk,12,1,13,b,i,n,m,n,n,1,0,n,0,0,0,0,0
hz026,hz,bgk,12,1,13,b,sb,n,k,n,n,0,0,n,0,0,0,0,0
hz027,hz,bgk,10,5,23,w,i,n,m,wm,n,NA,0,n,0,0,0,0,0
hz027,hz,bgk,12,1,13,b,i,n,n,hm,n,0,0,n,0,0,0,0,0
hz028,hz,bgk,10,5,23,w,sb,n,k,n,n,1,0,n,0,0,0,0,0
hz029,hz,bgk,10,5,23,w,i,n,m,n,n,1,5,M.mystacinus/brandtii,4,NA,NA,NA,NA
hz029,hz,bgk,12,1,13,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
hz030,hz,bgk,10,5,23,w,i,n,k,n,n,NA,0,n,0,0,0,0,0
hz031,hz,bgk,10,5,23,w,i,n,k,n,n,NA,0,n,0,0,0,0,0
hz031,hz,bgk,12,1,13,b,i,n,k,n,n,1,0,n,0,0,0,0,0
hz032,hz,bgk,10,5,23,w,i,n,m,n,n,NA,0,n,0,0,0,0,0
hz033,hz,bgk,10,5,23,w,i,n,k.m,n,n,NA,0,n,0,0,0,0,0
hz033,hz,bgk,12,1,13,b,i,n,k,n,n,0,0,n,0,0,0,0,0
hz034,hz,fk,11,1,27,s,sb,n,n,n,n,1,0,n,0,0,0,0,0
hz035,hz,bgk,10,5,23,w,d,n,m,n,n,NA,0,n,0,0,0,0,0
hz036,hz,sfk,12,1,13,b,i,n,nv.m,n,n,1,5,M.nattereri,3,3,0,1,2
hz038,hz,sfk,12,1,13,b,i,n,n,n,n,1,0,n,0,0,0,0,0
ki001,ki,mk,10,5,23,w,i,n,m,n,n,1,5,Plec.auritus,7,NA,NA,NA,NA
ki001,ki,mk,12,NA,NA,NA,i,n,m.tm,n,n,1,0,n,0,0,0,0,0
