kid,schlag,knr,ktyp,gpsr,gpsh,koa,kod,wt,wb,kz,vn,aves,mamm,invert,flkot,qtyp,flart,flges,flm,flw,flad,fljuv,sonstiges
rk025,rk,518,mk,4468691,5393038,10,3,35,s,i,1,2,0,0,1,5,Plec.auritus,20,0,0,0,0,16
rk026,rk,522,svk,4468137,5392922,10,2,27,s,i,1,2,0,0,1,NA,Plec.auritus,2,0,2,1,1,0
rk026,rk,522,svk,4468137,5392922,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
rk027,rk,528,sfk,4468022,5392802,10,2,27,s,i,0,0,0,0,1,2,M.myotis,1,1,0,1,0,0
rk027,rk,528,sfk,4468022,5392802,13,NA,NA,NA,sb,0,0,0,0,1,2,M.myotis,1,1,0,1,0,0
rk028,rk,529,sfk,4468163,5392765,10,2,27,s,i,0,0,0,0,1,0,0,0,0,0,0,0,0
rk028,rk,529,sfk,4468163,5392765,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
rk029,rk,530,bgk,4468173,5392758,10,2,27,s,i,0,0,0,0,1,0,0,0,0,0,0,0,0
rk030,rk,794,mk,4468086,5392770,10,2,27,s,i,0,0,0,0,1,5,Plec.auritus,15,0,0,9,6,0
rk030,rk,794,mk,4468086,5392770,13,NA,NA,NA,sb,0,0,0,0,1,5,M.nattereri,13,0,0,0,0,0
rk031,rk,800,svk,4467937,5392906,10,2,27,s,i,0,0,0,0,0,0,0,0,0,0,0,0,0
rk031,rk,800,svk,4467937,5392906,13,NA,NA,NA,sb,0,0,0,0,1,5,Plec.auritus,9,0,0,8,1,0
rk032,rk,801,svk,4468021,5392804,10,2,27,s,i,5,2,0,0,1,5,M.nattereri,18,0,0,0,0,0
rk033,rk,804,mk,4468159,5392774,10,1,33,s,i,4,0,0,1,0,0,0,0,0,0,0,0,4
rk034,rk,203B,NA,NA,NA,13,NA,NA,NA,NA,1,2,0,0,1,0,0,0,0,0,0,0,0
rk035,rk,281B,NA,NA,NA,13,NA,NA,NA,NA,1,3,0,0,1,0,0,0,0,0,0,0,0
rk036,rk,314C,bgk,4468137,5393081,10,1,33,s,i,1,1,0,0,1,2,M.nattereri,1,1,0,1,0,0
rk036,rk,314C,bgk,4468137,5393081,13,NA,NA,NA,sb,0,0,0,0,1,5,Plec.auritus,5,0,0,5,1,0
rk037,rk,fehlt,NA,NA,NA,13,NA,NA,NA,NA,2,3,0,0,1,0,0,0,0,0,0,0,4
rk038,rk,fehlt,NA,NA,NA,13,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0
sg001,sg,99,dk,4467697,5389902,12,1,13,b,sb,0,0,0,0,0,0,0,0,0,0,0,0,1
sg002,sg,100,dk,4467618,5389920,10,6,19,r,i,1,2,0,2,NA,0,0,0,0,0,0,0,0
sg002,sg,100,dk,4467618,5389920,12,1,13,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
sg003,sg,525,mk,4467549,5389948,10,6,19,r,i,1,2,0,0,1,5,Plec.auritus,5,0,0,0,0,0
sg004,sg,527,mk,4467585,5389933,10,6,19,r,i,1,2,0,1,0,0,0,0,0,0,0,0,0
sg005,sg,204B,bgk,4467593,5389938,10,6,19,r,i,1,1,0,0,1,0,0,0,0,0,0,0,0
sg005,sg,204B,bgk,4467593,5389938,12,1,13,b,sb,1,1,0,0,1,0,0,0,0,0,0,0,0
sg006,sg,205A,sfk,4467631,5389922,12,1,13,b,i,0,0,0,0,1,5,M.nattereri,10,0,0,0,10,0
sg007,sg,205B,bgk,4467629,5389922,10,6,19,r,i,1,2,0,0,0,0,0,0,0,0,0,0,0
sg008,sg,IF,fk,4467644,5389926,10,6,19,r,lb,5,2,0,0,1,2,M.nattereri,1,1,0,1,0,0
sg008,sg,IF,fk,4467644,5389926,12,1,13,b,sb,5,2,0,0,1,0,0,0,0,0,0,0,0
