kid,schlag,knr,ktyp,gpsr,gpsh,koa,kod,wt,wb,kz,vn,aves,mamm,invert,flkot,qtyp,flart,flges,flm,flw,flad,fljuv,sonstiges
m048,m,m048,fk,NA,NA,15,3,33,s,i,0,0,0,0,1,0,0,0,0,0,0,0,0
m049,m,m049,bk,NA,NA,15,3,33,s,i,0,0,0,0,1,0,0,0,0,0,0,0,0
m050,m,320,bk,NA,NA,15,3,33,s,i,5,0,0,1,1,0,0,0,0,0,0,0,0
m051,m,317,srk,NA,NA,15,3,33,s,i,1,2,0,0,1,0,0,0,0,0,0,0,3
x001,NA,fehlt,NA,NA,NA,13,NA,NA,NA,NA,1,2,0,0,1,0,0,0,0,0,0,0,0
bb001,bb,25,bgk,4466795,5391219,10,4,21,b,i,1,3,0,0,1,0,0,0,0,0,0,0,0
bb001,bb,25,bgk,4466795,5391219,11,1,27,s,i,1,2,0,0,1,2,M.nattereri,1,1,0,1,0,0
bb001,bb,25,bgk,4466795,5391219,14,1,24,w,i,1,1,0,0,1,3,M.nattereri,3,2,0,2,0,0
bb002,bb,31,dk,4466785,5391286,11,1,27,s,i,1,2,0,0,1,0,0,0,0,0,0,0,3
bb002,bb,31,dk,4466785,5391286,14,1,24,w,i,1,2,0,0,1,0,0,0,0,0,0,0,0
bb003,bb,32,dk,4466775,5391303,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
bb003,bb,32,dk,4466775,5391303,11,1,27,s,i,1,2,0,0,1,0,0,0,0,0,0,0,3
bb004,bb,37,fk,4467411,5391780,10,4,21,b,lb,0,0,0,0,0,0,0,0,0,0,0,0,0
bb004,bb,37,fk,4467411,5391780,11,2,19,b,sb,5,0,0,1,1,0,0,0,0,0,0,0,0
bb005,bb,555,mk,4467219,5391705,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
bb005,bb,555,mk,4467219,5391705,11,2,19,b,sb,1,2,0,0,1,5,M.nattereri,25,0,0,0,0,0
bb006,bb,570,mk,4467116,5391698,10,4,21,b,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
bb006,bb,570,mk,4467116,5391698,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
bb007,bb,583,mk,4466857,5391598,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,5
bb007,bb,583,mk,4466857,5391598,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
bb007,bb,583,mk,4466857,5391598,14,1,24,w,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
bb008,bb,584,mk,4466859,5391611,10,4,21,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,5
bb008,bb,584,mk,4466859,5391611,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
bb009,bb,585,mk,4466877,5391584,10,4,21,b,i,1,2,0,2,1,5,M.nattereri,15,0,0,0,0,0
bb009,bb,585,mk,4466877,5391584,11,2,19,b,sb,1,2,0,0,1,5,M.daubentonii,8,0,0,0,0,0
bb010,bb,587,mk,4466954,5391654,10,4,21,b,i,1,2,0,0,0,0,0,0,0,0,0,0,5
bb010,bb,587,mk,4466954,5391654,11,2,19,b,lb,1,1,0,0,1,0,0,0,0,0,0,0,0
bb011,bb,598,mk,4467080,5391692,10,4,21,b,i,1,2,0,0,0,0,0,0,0,0,0,0,0
bb011,bb,598,mk,4467080,5391692,11,2,19,b,sb,5,0,0,1,1,0,0,0,0,0,0,0,0
bb012,bb,601,bgk,4467158,5391688,10,4,21,b,i,1,1,0,0,1,5,M.nattereri,8,0,0,0,0,0
bb012,bb,601,bgk,4467158,5391688,11,2,19,b,i,1,1,0,0,1,5,M.daubentonii,15,0,0,0,0,0
bb013,bb,602,bgk,4467192,5391698,10,4,21,b,i,1,3,0,0,0,0,0,0,0,0,0,0,0
bb013,bb,602,bgk,4467192,5391698,11,2,19,b,lb,1,1,0,0,1,5,M.nattereri,6,0,0,3,3,0
bb013,bb,602,bgk,4467192,5391698,14,1,24,w,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
bb014,bb,612,bgk,4467715,5391538,11,1,27,s,lb,1,1,0,0,1,2,Pip.pygmaeus,1,1,0,0,1,0
bb016,bb,27,dk,4466792,5391222,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,1
bb016,bb,27,dk,4466792,5391222,14,1,24,w,NA,1,2,0,0,1,1,M.nattereri,10,0,0,8,2,0
bb017,bb,27B,bgk,4466792,5391222,10,4,21,b,i,1,4,0,0,0,0,0,0,0,0,0,0,0
bb017,bb,27B,bgk,4466792,5391222,11,1,27,s,i,1,2,0,0,1,0,0,0,0,0,0,0,0
bb017,bb,27B,bgk,4466792,5391222,14,1,24,w,i,1,3,0,0,1,5,M.nattereri,31,0,21,21,10,0
bb018,bb,585A,bgk,4466883,5391577,11,2,19,b,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
bb019,bb,600B,bgk,4467056,5391671,10,4,21,b,i,1,4,0,0,0,0,0,0,0,0,0,0,0
bb019,bb,600B,bgk,4467056,5391671,11,2,19,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
bb020,bb,B1,bk,NA,NA,14,1,24,w,i,0,0,0,0,1,0,0,0,0,0,0,0,0
bb021,bb,26,bgk,NA,NA,14,1,24,w,i,1,1,0,0,1,0,0,0,0,0,0,0,20
bb022,bb,11-7,sfk,NA,NA,14,2,26,s,i,4,0,0,2,NA,0,0,0,0,0,0,0,4 17
bk001,bk,80,mk,4468176,5391659,11,1,27,s,lb,1,1,0,0,1,5,M.nattereri,3,0,0,2,1,0
bk001,bk,80,mk,4468176,5391659,14,1,24,w,lb,1,2,0,0,1,0,0,0,0,0,0,0,3
bk002,bk,383,mk,4466824,5391147,11,1,27,s,sb,5,2,0,0,1,0,0,0,0,0,0,0,0
bk003,bk,1178,mk,4466870,5390666,11,1,27,s,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
bk003,bk,1178,mk,4466870,5390666,14,1,24,w,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
bk004,bk,1179,mk,4466921,5390641,11,1,27,s,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
bk004,bk,1179,mk,4466921,5390641,14,1,24,w,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
bk005,bk,24,bgk,4466944,5390929,10,4,21,b,i,1,1,0,0,0,0,0,0,0,0,0,0,0
bk005,bk,24,bgk,4466944,5390929,14,1,24,w,lb,1,1,0,0,1,3,M.nattereri,8,0,0,8,0,0
bk006,bk,19A,bgk,NA,NA,14,1,24,w,i,5,3,0,0,1,2,M.nattereri,1,1,0,1,0,0
bk007,bk,11-29,sfk,NA,NA,14,1,24,w,i,3,2,0,1,0,0,0,0,0,0,0,0,0 4
bk008,bk,11-28,sfk,NA,NA,14,1,24,w,i,NA,NA,NA,NA,1,5,M.nattereri,10,0,5,5,5,0
bk009,bk,11-27,bgk,NA,NA,14,1,24,w,lb,1,1,0,0,0,0,0,0,0,0,0,0,0
bk010,bk,11-26,sfk,NA,NA,14,1,24,w,i,5,0,0,1,0,0,0,0,0,0,0,0,0
bk011,bk,11-25,sfk,NA,NA,14,1,24,w,i,1,2,0,0,1,2,M.nattereri,1,1,0,1,0,0
bk012,bk,11-24,sfk,NA,NA,14,1,24,w,i,1,2,0,0,1,2,M.nattereri,1,1,0,1,0,0
bk013,bk,11-23,bgk,NA,NA,14,1,24,w,i,1,3,0,0,0,0,0,0,0,0,0,0,0
bk014,bk,11-22,bgk,NA,NA,14,1,24,w,NA,3,2,0,0,0,0,0,0,0,0,0,0,4
bk015,bk,11-21,sfk,NA,NA,14,1,24,w,i,1,2,0,0,1,5,M.nattereri,8,0,0,0,0,1
bk016,bk,11-20,sfk,NA,NA,14,1,24,w,NA,1,2,0,0,1,5,M.nattereri,18,0,0,9,9,0
bk017,bk,11-19,sfk,NA,NA,14,1,24,w,i,1,2,0,0,1,0,0,0,0,0,0,0,0
bk018,bk,11-18,sfk,NA,NA,14,1,24,w,i,1,2,0,0,1,2,M.nattereri,1,1,0,1,0,0
bk019,bk,11-17,sfk,NA,NA,14,1,24,w,sb,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0
bk020,bk,11-16,sfk,NA,NA,14,1,24,w,i,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0
hb001,hb,116B,bgk,4467685,5393021,10,6,19,r,lb,1,1,0,0,0,0,0,0,0,0,0,0,0
hb003,hb,204,mk,4467574,5393283,10,6,19,r,i,1,1,0,0,1,0,0,0,0,0,0,0,10
hb005,hb,46,sfk,4467679,5393032,10,6,19,r,i,1,0,0,1,1,2,Pip.nathusii,1,1,0,1,0,0
hb006,hb,790,mk,4467586,5393263,10,6,19,r,i,1,2,0,0,1,0,0,0,0,0,0,0,10
hb007,hb,794,mk,4467640,5393105,10,6,19,r,i,1,2,0,0,1,2,M.nattereri,1,1,0,1,0,7
hb008,hb,796,mk,4467669,5393058,10,6,19,r,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hk001,hk,100,hfk,4468766,5392455,10,2,27,s,sb,0,0,0,0,0,0,0,0,0,0,0,0,0
hk001,hk,100,hfk,4468766,5392455,13,NA,NA,NA,sb,0,0,0,0,0,0,0,0,0,0,0,0,0
hk001,hk,100,hfk,4468766,5392455,15,1,15,w,sb,1,2,0,0,0,0,0,0,0,0,0,0,0
hk002,hk,717,bgk,4468785,5392471,10,2,27,s,lb,1,2,0,0,1,NA,M.nattereri,4,0,0,0,0,0
hk002,hk,717,bgk,4468785,5392471,13,NA,NA,NA,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
hk002,hk,717,bgk,4468785,5392471,15,1,15,w,lb,2,2,0,0,NA,0,0,0,0,0,0,0,4 19
hk003,hk,718,bgk,4468750,5392329,10,2,27,s,i,3,2,0,0,0,0,0,0,0,0,0,0,4
hk003,hk,718,bgk,4468750,5392329,15,1,15,w,sb,2,3,0,0,0,0,0,0,0,0,0,0,4
hk004,hk,718,mk,4468793,5392521,10,2,27,s,lb,0,0,0,0,1,0,0,0,0,0,0,0,0
hk004,hk,718,mk,4468793,5392521,13,NA,NA,NA,lb,1,1,0,0,1,1,M.nattereri,1,1,0,1,0,11
hk004,hk,718,mk,4468793,5392521,15,1,15,w,lb,2,2,0,0,NA,NA,NA,0,0,0,0,0,4 19
hk005,hk,719,bgk,4468749,5392282,10,2,27,s,sb,5,2,0,0,1,0,0,0,0,0,0,0,0
hk005,hk,719,bgk,4468749,5392282,13,NA,NA,NA,sb,2,2,0,0,1,0,0,0,0,0,0,0,4
hk005,hk,719,bgk,4468749,5392282,15,1,15,w,sb,1,3,0,0,0,0,0,0,0,0,0,0,0
hk006,hk,719,mk,4468814,5392565,10,2,27,s,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hk006,hk,719,mk,4468814,5392565,13,NA,NA,NA,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hk006,hk,719,mk,4468814,5392565,15,1,15,w,lb,2,2,0,0,NA,NA,NA,0,0,0,0,0,4 19
hk007,hk,723,mk,4468828,5392660,10,2,27,s,sb,1,1,0,0,1,0,0,0,0,0,0,0,0
hk007,hk,723,mk,4468828,5392660,15,1,15,w,sb,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,5 7 19
hk008,hk,750,bgk,4468703,5392151,10,4,21,b,i,1,4,0,0,1,0,0,0,0,0,0,0,0
hk008,hk,750,bgk,4468703,5392151,15,2,17,w,i,1,1,0,0,1,1,M.nattereri,1,1,0,1,0,7
hk009,hk,788,bgk,4468718,5392210,10,2,27,s,i,1,2,0,3,1,0,0,0,0,0,0,0,2
hk009,hk,788,bgk,4468718,5392210,13,NA,NA,NA,d,1,1,0,0,1,0,0,0,0,0,0,0,0
hk010,hk,794,bgk,4468703,5392151,10,2,27,s,lb,3,3,0,0,1,0,0,0,0,0,0,0,4
hk010,hk,794,bgk,4468703,5392151,13,NA,NA,NA,lb,1,3,0,0,1,0,0,0,0,0,0,0,0
hk011,hk,522B,bgk,4468819,5392654,10,2,27,s,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hk011,hk,522B,bgk,4468819,5392654,13,NA,NA,NA,i,1,2,0,0,1,5,M.daubentonii,22,0,0,0,0,0
hk011,hk,522B,bgk,4468819,5392654,15,1,15,w,i,3,2,0,0,1,0,0,0,0,0,0,0,4
hk012,hk,524B,bgk,4468875,5392872,10,2,27,s,i,1,4,0,3,0,0,0,0,0,0,0,0,0
hk012,hk,524B,bgk,4468875,5392872,13,NA,NA,NA,sb,1,3,0,0,1,0,0,0,0,0,0,0,0
hk012,hk,524B,bgk,4468875,5392872,15,1,15,w,sb,5,2,0,0,NA,0,0,0,0,0,0,0,4
hk013,hk,525B,bgk,4468781,5392470,10,2,27,s,i,4,0,0,1,0,0,0,0,0,0,0,0,4
hk013,hk,525B,bgk,4468781,5392470,13,NA,NA,NA,sb,1,1,0,0,1,1,M.daubentonii,1,0,1,1,0,11
hk013,hk,525B,bgk,4468781,5392470,15,1,15,w,sb,1,1,0,0,1,1,M.nattereri,1,0,1,1,0,0
hk014,hk,526B,bgk,4468783,5392467,10,2,27,s,lb,1,2,0,4,1,0,0,0,0,0,0,0,0
hk014,hk,526B,bgk,4468783,5392467,13,NA,NA,NA,lb,4,6,0,5,1,0,0,0,0,0,0,0,4
hk015,hk,529P,bgk,4468755,5392301,10,2,27,s,sb,0,0,0,0,1,5,Nyc.noctula,3,0,0,0,0,7
hk015,hk,529P,bgk,4468755,5392301,13,NA,NA,NA,sb,2,3,0,0,1,0,0,0,0,0,0,0,4
hk015,hk,529P,bgk,4468755,5392301,15,1,15,w,sb,1,3,0,0,1,0,0,0,0,0,0,0,0
hk016,hk,530B,bgk,4468742,5392261,10,2,27,s,lb,1,1,0,3,0,0,0,0,0,0,0,0,0
hk016,hk,530B,bgk,4468742,5392261,13,NA,NA,NA,lb,3,2,0,0,1,0,0,0,0,0,0,0,4
hk016,hk,530B,bgk,4468742,5392261,15,1,15,w,sb,2,2,0,0,1,0,0,0,0,0,0,0,4
hk017,hk,722B,bgk,4468823,5392659,10,2,27,s,i,1,0,0,1,1,0,0,0,0,0,0,0,0
hk017,hk,722B,bgk,4468823,5392659,13,NA,NA,NA,i,1,7,0,0,1,0,0,0,0,0,0,0,0
hk017,hk,722B,bgk,4468823,5392659,15,1,15,w,sb,1,1,0,0,1,0,0,0,0,0,0,0,3
hk018,hk,724B,NA,4468814,5392717,10,2,27,s,i,1,3,0,0,1,5,M.nattereri,2,0,2,1,1,0
hk019,hk,N6,sfk,4468865,5392964,13,NA,NA,NA,i,5,2,0,0,0,0,0,0,0,0,0,0,0
hk019,hk,N6,sfk,4468865,5392964,15,1,15,w,i,4,0,0,1,NA,0,0,0,0,0,0,0,4
hk020,hk,N7,sfk,4468857,5392901,13,NA,NA,NA,i,5,2,0,0,0,0,0,0,0,0,0,0,0
hk020,hk,N7,sfk,4468857,5392901,15,1,15,w,i,4,0,0,1,NA,0,0,0,0,0,0,0,4 17
hk021,hk,N8,sfk,4468866,5392859,15,1,15,w,i,0,0,0,0,1,0,0,0,0,0,0,0,0
hk027,hk,764,mk,NA,NA,15,1,15,w,sb,2,2,0,0,1,0,0,0,0,0,0,0,4
hk030,hk,hk030,mk,NA,NA,15,1,15,w,sb,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,4 19
hk031,hk,hk031,bk,NA,NA,15,1,15,w,NA,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,4 19
hk032,hk,hk032,srk,NA,NA,15,1,15,w,i,1,3,0,0,1,0,0,0,0,0,0,0,0
hk033,hk,hk033 (ehem. 741),bgk,NA,NA,15,1,15,w,lb,1,1,0,0,1,0,0,0,0,0,0,0,10
hk034,hk,hk034,bgk,NA,NA,15,1,15,w,lb,2,3,0,0,NA,0,0,0,0,0,0,0,4
hk038,hk,527,sfk,NA,NA,15,1,15,w,i,0,0,0,0,1,0,0,0,0,0,0,0,0
ho001,ho,502,mk,4467665,5391914,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
ho001,ho,502,mk,4467665,5391914,11,1,27,s,lb,1,2,0,0,1,5,M.nattereri,0,0,0,0,0,0
ho002,ho,516,bgk,4467853,5392406,10,2,27,s,i,2,3,0,0,0,0,0,0,0,0,0,0,4
ho003,ho,519,sfk,NA,NA,13,NA,NA,NA,i,1,0,0,1,1,0,0,0,0,0,0,0,0
ho004,ho,722,bgk,4467911,5392540,10,2,27,s,i,1,2,0,0,1,0,0,0,0,0,0,0,0
ho005,ho,729,bgk,4468056,5392299,10,4,21,b,i,1,4,0,0,1,0,0,0,0,0,0,0,0
ho005,ho,729,bgk,4468056,5392299,13,NA,NA,NA,i,3,7,0,0,1,0,0,0,0,0,0,0,4
ho006,ho,760,mk,4468207,5392256,10,4,21,b,i,1,1,0,0,1,0,0,0,0,0,0,0,0
ho006,ho,760,mk,4468207,5392256,13,NA,NA,NA,i,1,1,0,0,1,0,0,0,0,0,0,0,3
ho007,ho,762,mk,4468166,5392307,10,4,21,b,lb,1,4,0,0,1,0,0,0,0,0,0,0,0
ho007,ho,762,mk,4468166,5392307,13,NA,NA,NA,i,1,2,0,0,1,0,0,0,0,0,0,0,0
ho009,ho,768,bgk,4467996,5392400,10,5,23,w,i,1,3,0,0,1,0,0,0,0,0,0,0,7
ho009,ho,768,bgk,4467996,5392400,13,NA,NA,NA,i,3,2,0,0,1,0,0,0,0,0,0,0,4
ho010,ho,769,bgk,4467967,5392460,10,5,23,w,i,1,3,0,0,0,0,0,0,0,0,0,0,0
ho010,ho,769,bgk,4467967,5392460,13,NA,NA,NA,i,3,3,0,0,1,0,0,0,0,0,0,0,4
ho011,ho,771,bgk,4467959,5392474,10,5,23,w,i,1,3,0,0,0,0,0,0,0,0,0,0,12
ho013,ho,fehlt,NA,4467888,5392525,13,NA,NA,NA,NA,3,2,0,0,0,0,0,0,0,0,0,0,4
ho014,ho,fehlt,NA,NA,NA,13,NA,NA,NA,sb,1,3,0,0,1,0,0,0,0,0,0,0,0
ho015,ho,513B,bgk,4467911,5392540,10,2,27,s,i,1,2,0,0,1,0,0,0,0,0,0,0,0
ho016,ho,514B,bgk,4467912,5392539,10,2,27,s,i,1,1,0,0,0,0,0,0,0,0,0,0,0
ho017,ho,188A,bgk,NA,NA,14,2,26,s,d,0,0,0,0,0,0,0,0,0,0,0,0,13
ho018,ho,14-01,mk,NA,NA,14,2,26,s,sb,1,2,0,0,1,5,M.nattereri,17,0,0,0,0,0
ho019,ho,14-02,bgk,NA,NA,14,2,26,s,i,1,2,0,0,1,0,0,0,0,0,0,0,7
ho020,ho,62,fk,14,2,26,s,sb,5,4,0,0,0,0,0,0,0,0,0,0,0,0,7
hz001,hz,5,dk,4466992,5390060,10,5,23,w,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hz001,hz,5,dk,4466992,5390060,12,1,13,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hz002,hz,6,dk,4467015,5390036,10,5,23,w,i,4,2,0,5,NA,0,0,0,0,0,0,0,4
hz002,hz,6,dk,4467015,5390036,12,1,13,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hz003,hz,8,dk,4467050,5390187,12,1,13,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hz004,hz,42,bgk,4466778,5390599,11,1,27,s,lb,1,1,0,0,1,2,M.nattereri,1,1,0,1,0,0
hz005,hz,64,fk,4466985,5390088,10,5,23,w,i,0,0,0,0,1,0,0,0,0,0,0,0,0
hz005,hz,64,fk,4466985,5390088,12,1,13,b,sb,0,0,0,0,1,0,0,0,0,0,0,0,0
hz006,hz,120,mk,4467334,5390100,12,1,13,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hz007,hz,766,bgk,4466886,5389862,12,1,13,b,sb,1,2,0,0,0,0,0,0,0,0,0,0,0
hz008,hz,1177,mk,4466835,5390589,11,1,27,s,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
hz009,hz,1194,mk,4467125,5390351,12,1,13,b,sb,1,2,1,0,0,0,0,0,0,0,0,0,0
hz022,hz,254B,bgk,4467334,5390070,12,1,13,b,i,1,4,0,0,1,0,0,0,0,0,0,0,0
hz023,hz,258B,svk,4467302,5390127,10,5,23,w,i,1,1,0,0,1,0,0,0,0,0,0,0,0
hz023,hz,258B,svk,4467302,5390127,12,1,13,b,i,1,1,0,0,1,0,0,0,0,0,0,0,0
hz024,hz,260B,bgk,4467244,5390186,10,5,23,w,i,1,8,0,0,NA,0,0,0,0,0,0,0,1
hz024,hz,260B,bgk,4467244,5390186,12,1,13,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
hz025,hz,261B,bgk,4467223,5390213,10,5,23,w,i,1,3,0,0,NA,0,0,0,0,0,0,0,0
hz025,hz,261B,bgk,4467223,5390213,12,1,13,b,i,1,2,0,0,1,0,0,0,0,0,0,0,7
hz026,hz,264B,bgk,4467185,5390252,12,1,13,b,sb,1,1,0,0,0,0,0,0,0,0,0,0,0
hz027,hz,267B,bgk,4467150,5390325,10,5,23,w,i,1,2,2,0,NA,0,0,0,0,0,0,0,0
hz027,hz,267B,bgk,4467150,5390325,12,1,13,b,i,1,0,1,0,0,0,0,0,0,0,0,0,7
hz028,hz,268B,bgk,4467140,5390346,10,5,23,w,sb,1,1,0,0,1,0,0,0,0,0,0,0,0
hz029,hz,272B,bgk,4466938,5389923,10,5,23,w,i,1,2,0,0,1,5,M.mystacinus/brandtii,4,0,0,0,0,8
hz029,hz,272B,bgk,4466938,5389923,12,1,13,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,2
hz030,hz,274B,bgk,4466993,5390060,10,5,23,w,i,1,1,0,0,NA,0,0,0,0,0,0,0,0
hz031,hz,280B,bgk,4467052,5390141,10,5,23,w,i,1,1,0,0,NA,0,0,0,0,0,0,0,10
hz031,hz,280B,bgk,4467052,5390141,12,1,13,b,i,1,1,0,0,1,0,0,0,0,0,0,0,2
hz032,hz,281B,bgk,4467081,5390190,10,5,23,w,i,1,2,0,0,NA,0,0,0,0,0,0,0,0
hz033,hz,294B,bgk,4466909,5389882,10,5,23,w,i,1,3,0,0,NA,0,0,0,0,0,0,0,0
hz033,hz,294B,bgk,4466909,5389882,12,1,13,b,i,1,1,0,0,0,0,0,0,0,0,0,0,0
hz034,hz,4F,fk,4466791,5390602,11,1,27,s,sb,0,0,0,0,1,0,0,0,0,0,0,0,0
hz035,hz,fehlt,bgk,4467197,5390253,10,5,23,w,d,1,2,0,0,NA,0,0,0,0,0,0,0,14
hz036,hz,N1,sfk,4466951,5390195,12,1,13,b,i,5,2,0,0,1,5,M.nattereri,3,3,0,1,2,0
